,,,BNS,,"Without EM counterpart, need tidal deformability measurement to identify binary components as NSs (lower mass gap is uncertain, and primordial black holes could have any mass). Tidal deformability effects increase with frequency. By 2050, EOS (and therefore tidal deformability) should be mostly known; this provides an independent GW-only distance and redshift estimate (because then we'll know the source-frame frequency at which different tidal effects come in)",need galaxy catalogs,"BNSs can be kicked out of their host galaxy, in such cases no obvious association is possible",Cecilia,,
,,,NS-BH,,"Same as for BNS, but binary tidal deformability is lower with only one NS in the binary",need galaxy catalogs,NS-BHs can also be kicked out of their host galaxy,Cecilia,,
,,,WD binary,4.1.e,"Try to identify galaxy and measure binary at z=0.2=1Gpc. Est 50 galx/deg^2 within z=0.2+-0.01.  Likely ID of galx then requires localization to (9')^2.  The likely frequency of best cases is ~0.03Hz (upper edge), with Mchirp~1.0MSun.  LISA's horizon is ~1.5Mpc (snr~7) for such system-->need 700x LISA sensitivity to reach 1Gpc. ",,,John B.,,"--M*>10^8 Galx density of 0.03/Mcp^3 inferred from Fig 1 of doi:10.3847/0004-637X/830/2/83
--Used NewWright'sCalc to get dist and  0.19<z<0.21 volume 0.68Gpc^3 => 2e6galx => 50galx/deg^2
--LISA DWD horizon params from: 	arXiv:1808.05959 Fig 2."
,,,EMRI,,"MacLeod & Hogan (2008) estimates H0 measurement with precision ~ 1% if we can measure 20 EMRIs w/in z = 0.5 w/ sky localization scaling like \Delta \theta = 4 z deg, so sky localization < 4 deg^2",need galaxy catalogs,,,,
,,,IMRI,,,,,,,
,,Compare distributions of populations of GW sources with galaxy distributions (?),Posterior (statistical) analyses of populations of GW systems in comparison with astronomical catalogs,,Need good angular resolution?,Reasonably complete galaxy catalogs out to high redshifts (need to quantify the redshift),Will ,,,
,,,SOBH binaries,,Limit for hubble flow measurement is GW luminosity distance which is intrinsic error * sqrt(N_sources). Few good sources vs. lots of average sources?,Need galaxy catalogs for cross-matching or statsitical comparisons. May be hard for large redshifts,What is the space advantage? 3G terrestrial detectors will get lots of SOBH systems,Ira,,https://doi.org/10.1093/mnras/sty057
,,,BNS,,"May need to worry about systems kicked out of their host galaxies. The projected offsets span 0.5 − 75 kpc with a median of about 5 kpc (see Section 7 of https://arxiv.org/pdf/1311.2603.pdf). On the >100 kpc scale, we can probably be confident that NSNS will follow the distribution of galaxies.",need galaxy catalogs,"NSs can be formed at z ~ few, but NSNS formation channels (uncertain) matter more to make the NSNS merge at high z ",Cecilia,,
,,,NS-BH,,"NS-BHs should be detectable to even larger distances than BNS. Distance/redshift determinations at z > 1 from GWs will probe intermediate ranges currently unavailable to the cosmic distance ladder, and intermediate between Type Ia SNe and CMB.",need galaxy catalogs,"There is, so far, no information on the population of NS-BHs (also not observed in EM). Hopefully will have accumulated more information by 2050...",Cecilia,,
,,,WD binary,,,,,John B.,,
,,,EMRI,,,,,,,
,,,IMRI,,,,,,,
,,Use population of GW sources w/o EM counterparts to estimate Hubble Constant directly,Statistical analysis of large numbers of GW systems. Use astrophysical priors to constrain intrinsic luminosity.,,,,,,,
,,,NS-NS,,,,,,,Ira recalls Curt Cutler discussing this in a talk. Basic idea is that NS mass function is constrinaed so you can measure the redshift by comparing the redshifted mass from the GW waveform with the expected mass. 
,Map out distributions of dark matter,Study GW signals lensed by a foreground distribution of dark matter,"Identify lensed MBH binary signals (look for events that look the same, but with a time delay; Look for interference between signals that are long duration or that arrive close together in time) ","2.1.c, 2.1.d, 2.1.e","y parameter can be determined from amplitudes of lensed signals, but amplitude is degenerate with luminosity distance and intrinsic mass scale of merger. Being able to spatially distinguish lensed images would provide an additional measurement of y, allowing to break this degeneracy. Measurement of the time delay between lensed images allows for inferences of cosmological parameters. If want to  measure the total mass of a cluster, the Einstein ring would be ~ tens of arcseconds (with assumptions about the cluster mass and the distances). Better angular resolution will allow for measurements at greater distances. ",,,Toni,,
,,,SOBH binaries,"1.3.c, 1.3.d, 1.3.e",,,Sensitivity demands might make this out of reach; frequency ranges more friendly for 3rd-gen. ground-based,,,
,,,BNS,"1.1.c, 1.1.d, 1.1.e",,,Sensitivity demands might make this out of reach; frequency ranges more friendly for 3rd-gen. ground-based,,,
,,,NS-BH,,,,Sensitivity demands might make this out of reach; frequency ranges more friendly for 3rd-gen. ground-based,,,
,,,WD binary,"4.1.c, 4.1.d","Peak of Type 1a rate is at z = 2.0, not sure you many WDs at much higher redshifts, but there's a lot of uncertainty beyond z~1.5; Need to check the probability of lensing out to z ~ 2.0",,"Long-lived sources, but need some way to measure d_L; at higher redshifts, the required sensitivity might make this challenging",,,
,,,EMRI,,,,,,,
,,,IMRI,,,,,,,
,,Look for weak lensing of GWs,"Perform statistical analysis of MBHB mergers in order to identify sources that appear to be closer than indicated by redshift measurements, indicating systems are weakly lensed. ",,"(need an association with a redshift and compare GW luminosity distance from the waveform and compare with redshift and if d_L appears closer, then the signal is weakly lensed)",Need the capability to disentangle signals. Also need astronomical catalogs.,,Toni,,
,,,MBH binary systems localized to host galaxy,,,,,,,
,,,SOBH binary systems localized to host galaxy,,,,,,,
,,,BNS mergers,,,,,,,
,,,BNS systems localized to host galaxy,,,,,,,
,,,NS-BH mergers,,,,,,,
,,,NS-BH systems localized to host galaxy,,,,,,,
,,,TDE,,,,,,,
,,,MBH-WD,,,,,,,
,,,EMRI localized to host galaxy,,,,,,,
,,,WD-WD -> Type 1a SN (feasible?),,,,,,,
,,,WD binary systems localized to host galaxy,,,,,,,
,,,IMBH-WD (?),,,,,,,
,,,IMRIs localized to host galaxy,,,,,,,
,,,Look for an anistropy in the distance distributions of GW sources across the sky,,Feasible? Need a lot of sources. To what angular scale could we do this or do we need to do this?,,,,,
,,Measure density of .. IMBH or MBH with a small companion -- companion experiences drag due to encounters with possible dark matter clumps,Identify signatures in the EMRI waveform associated with the encounters.,SNR O(1000),,,,Zach,,
,,,IMRI,5.5.c,Need good sensitivity and good timing resolution,,,,,
,Understand the nature of dark matter.,Localize BH binaries within the dark matter halo.,Identify and characterize GW signals from BH binaries prior to merger and compile population statistics.,,,,,,,
,,Search for primordial black holes in binaries with MBH (?).,Measure the characteristics of GW signals from EMRI sources to identify  companions with masses lower than predicted from astrophysical channels.,,,,,Zach,,
,Understand the co-evolution of SMBHs and galaxies over cosmic epoch.,Measuring the distributions of the properties of SMBHBs with redshift.,Measuring the characteristics of GW signals for the population of SMBHBs.,,Need good sensitivity and angular resolution.,,Need EM measurements of host galaxies.,Beany,,
,,Deduce M-sigma relation.,Combine Doppler shifts of individual SOBHB mergers (localized within host galaxy bulge) in clusters to deduce cluster velocity dispersion (sigma).,"0.11 Hz -> 0.22 Hz, (find merger-time SNR requirement); 1.3.a (?)","Need a sufficiently wide-band detector in order to detect multiple harmonic modes (past quadrupole -- assume ell=4). Need good angular resolution to resolve individual binaries within cluster; alternatively, need sophisticated modeling of GW waveforms consisting of multiple sources (good understanding of GW waveforms in which multiple sources that are superimposed on top of each other). High primary SNR needed for localization & guaranteed detection of secondary harmonics",Need independent measurement of the total cluster mass.,Can compare with M-sigma relation from EM measurements.,,,
,,,SOBHB well before merger,"(choose separation; add frequencies), with SNR O(1000)",High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,BNS mergers localized within host galaxy bulge,0.5 Hz -> 1.0 Hz (find merger-time SNR requirement),High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,BNS well before merger,"(choose separation; add frequencies), with SNR O(1000)",High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,NS-BH mergers localized within host galaxy bulge,"0.29 Hz -> 0.58 Hz,  (find merger-time SNR requirement)",High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,NS-BH well before merger,"(choose separation; add frequencies), with SNR O(1000)",High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,WD binary merger localized within host galaxy bulge,,High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,WD binary systems localized within host galaxy bulge,,High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,Beany,,
,Probe the physics of the early Universe.,"Measure or constrain GW signals from physical processes (e.g., inflation, phase transitions) or relics (e.g., cosmic strings, primordial black holes) from the early universe.",Distinguish GW signals from early universe processes from astrophysical GW signals by measuring the spectral index of the stochastic GW background and characterizing its anisotropy.,,Need better sensitivity than \Omega_{GW} ~ 10^-9 (check numbers),,,Zorawar,,
Study Astrophysical Processes in Extreme Gravitational Environments. (Or fill in appropriate Astro2020 Theme). New Messengers and New Physics: use the GW window to explore astrophysical systems in new ways.,Probe the physics of MBHB accretion processes.,Study associations between GW and EM emission processes from MBBH systems.,Measuring the characteristics of GW signals and measuring the EM signals over multiple frequencies and particle signals in multiple energy bands,"2.1.a, 2.1.b, 2.1.c, 2.3.a, 2.3.b",Need good sensitivity to locate signals to host galaxies for EM follow-up.  Close sources are needed so their EM signals are observable and localizable. MMA sources/detections needed across different redshifts and masses needed to evaluate parameter dependence. ," Ideally, source would be associated with archival source for long time frame modeling. Multiband EM needed for spectral classification of source and evaluation of nature of accretion flow. X-ray needed for the inner accretion flow, radio/mm for the jet characterization.  Global MMA coordination required. ",Key challenge is the large uncertainty in the rates of these sources.  Will we see a close enough merger with enough ambient material to produce a bright EM signal? ,Scott,,
,,Precisely determine BH properties and identify EM counterparts in order to enable follow-up studies of accreting systems.,Measuring the characteristics of GW signals,"2.1.a, 2.1.b, 2.1.c","Goal here is precision, so only the closest sources at the best resolution are needed. Characterization of source's mass, mass ratio, eccentricity, spins, spin-orientation, all tell us about source's accretion history. Observed pre- and post-merger needed to measure environment properties. "," Ideally, source would be associated with archival source for long time frame modeling. Multiband EM needed for spectral classification of source and evaluation of nature of accretion flow. X-ray needed for the inner accretion flow, radio/mm for the jet characterization.  Global MMA coordination required. ",Measure the mass of the accretion flow. Possibly measurable through phase drag earliest in the inspiral.  Possibly from EM spectral modeling. ,,,
,,Measure the mass of the accretion flow.,Study phase evolution of waveform to look for evidence of drag from accretion gas on the binary.,"2.1.a, 2.1.b, 2.1.d, 2.3.a","Variety of sources with <0.1% phase errror needed to try to measure the most massive accretion flows.  If they exist, then could do this for a redshifts w/o EM. ","While EM observations may not be strictly needed, they would useful to associating accretion disk mass with EM and host properties.",Phase resolution. ,,,
,"Probe the physics of MBH systems, their environments, and studying their evolution.",Measure masses and spins of a large population of MBHs.,Measuring the characteristics of GW signals of EMRIs and doing statistical analyses of the population of EMRIs.,"3.3.c (less pessimistic model), 3.3.e (more pessimistic model)",Need good sensitivity to EMRI signals at large distances to better ensure that we measure a sizeable population of EMRIs,,Need astrophysical models of how certain conditions (host galaxy environments and galaxy merger rates) lead to populations of MBHs. Do MBHs grow through accretion or major mergers? This will eventually be informed by LISA observations,Zach,,
,,Measure masses and spins of individual MBHs in EMRI systems that have been localized to a particular host galaxy.,Measuring the characteristics of GW signals of EMRIs,3.3.b,Angular resolution necessary to localize EMRI to a particular host galaxy.,,Compare with spin measurements from EM observations -> information about accretion processes.,,,
,,Measure masses and spins of individual MBHs in EMRI systems that have been localized to a particular host galaxy.,Precision modeling of gravitational waveforms of EMRIs.,,How is this different from row above?,,,,,
,,Determine the EMRI contribution to the population of tidal disruption events,,,,,"EMRIs with an EM counterpart -- tidal disruption of WD, QPOs",,,
,Search for intermediate mass black holes and understand how they form and evolve.,"Measure characteristics (masses, spins, distributions thereof for populations) of IMRI and IMBHB systems.",Measure the GW signal characteristics of IMRIs.,"5.5.a (light IMRI), 5.6.a (heavy IMRI)","Need good sensitivity in order to detect IMRIs. Need to observe at higher frequencies in order to detect merger (unless we have a MBH + IMBH), but at lower frequencies can detect pre-merger signal.",Need sufficient numbers to have the statistics necessary to determine population distributions.,,Zach,,
,,,IMBH binary systems,,,,,Toni,,
,Understand how NS binaries form and evolve in their galactic environments and characterize their populations.,Localize NS binaries within the Galaxy and nearby galaxies.,Identify and characterize GW signals from NS binaries prior to merger and compile population statistics.,,Need good sensitivity (to be able to detect farther out) and good angular resolution to localize within host galaxy.,"no EM counterpart needed, if we assume enough angular resolution to localize source inside galaxy; however, EM counterpart should be *bright*",Need observations of the host galaxy and environments of detected NS binaries.,Cecilia,,
,"Understand the structure and population properties (e.g., mass distribution function) of WDs.",Measure masses of EMRIs consisting of MBHs with WD companions and measuring the orbital characteristics of WD companions and searching for associated EM counterparts.,Measure the characteristics of the MBH+WD GW binary signals.,,,,EM counterpart,Zach,,
,,,MBH+WD mergers,3.4.a,,,,,,
,,"Explore hierarchical, many-body systems (e.g., triples) .",Recognize signatures of triple and many-body systems and measure masses and orbits of these systems. Ultimately cast demographical information and evaluate environment influences or constituent effects,,,,,Scott and Zach,,
,Understand the progenitors of Type 1a SNe.,Determine whether WD-WD mergers are a subpopulation of Type 1a SNe by searching for coincident GW-EM signals.,Search for GW signals from WD mergers associated with Type 1a SNe.,,,,EM counterpart and inform cosmology distance ladders and measurements of the Hubble constant.,Toni,,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.126.131101
,,,"Measure rate and properties (e.g., masses, frequency, mass of remant if no SN) of WD mergers as a function of redshift.",,,,How far can you go out in redshift and still be able to detect these?,,,
,Image galaxies in GWs.,Measure the spatial distribution of CO binaries within galaxies. ,WD binaries,,,,,John,,
,"Dual-line coincident sources, e.g.  oscillating NSs in ultra-compact x-ray binaries, GWI would help localize sources to increase confidence in dual-line observations",,,,,,,,,
