Target,,,,,Potential Observation Capability,,,,,,,,
Source class,Source label,Source specification,Distance/redshift (dL in kpc),Sub-specs,freq,Required precision,provisional POC label,Achievable by Concept X?,science motivation,sci ref,,UNUSED,"['1.1.b', '1.2.b', '1.3.b', '2.2.b', '3.1.a', '3.2.a', '3.3.d', '4.1.a', '4.1.b', '5.1.a', '5.1.b', '5.1.c', '5.1.d', '5.2.a', '5.2.b', '5.3.a', '5.3.b', '5.4.a', '5.4.b', '5.5.b', '5.7.a']"
,SMBH + SOBH,1 MSun + 1e7 MSun,z=0.2; dL = 1.01e6,month to week before merger,,,3.2.a,,,,,√,
,SMBH + SOBH,,z = 1.0; dL = 6.79e6,no particular timescale,,,3.2.b,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,SMBH + SOBH,10MSun +  5e5Msun,z=1.5; dL = 1.22e7,2 years before merger,1.28e-3 Hz,6 arcsec,3.3.a,,,,,,
,,,,low spin & eccentricity or need higher SNR; main requirement is at least < 1 deg^2 localization,,,3.3.b,,,,,,
,,,z = 5.5; dL = 5.33e7,,,,3.3.c,,,,,,
,,,z = 6.6; dL = 6.59e7,SNR = 100,,,3.3.d,,,,,√,
,,,z = 10; dL = 1.07e8,,,,3.3.e,,,,,,
,SMBH + SOBH,,z = 1.0; dL = 6.79e6,no particular timescale,,,3.3.f,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,SMBH + WD,5e5 Msun + 0.6 Msun,z = 1.75; dL = 1.34e7,,,,3.4.a,,,,,,
,SMBH + WD,,z = 1.0; dL = 6.79e6,no particular timescale,,,3.4.b,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,SMBH + WD,1e5 Msun + 0.5 Msun,z = 1.0; dL = 6.79e6,,,,3.5.a,,"Relevant for 2b-3a. Sesana 2008 [https://arxiv.org/abs/0806.0624] suggests that EM counterpart will have a luminosity around $\sim 10^{43}$ erg/s (Eddington luminosity of $10^5 M_\odot$ BH), which they claim can be measured out to ~200 Mpc w/ last generation of telescopes. This seems to be the limiting piece. However, MacLeod 2014 [https://arxiv.org/abs/1405.1426] shows luminosity in the range of  $\sim 10^{48}$ erg/s for a $0.5 M_\odot$ WD + $10^5 M_\odot$ MBH. Assuming normal scaling relations of brightness falling off like $1/r^2$, increase of $10^5$ in luminosity would allow you to see $10^{2.5} \approx 300$ times farther, so maybe you could see out to $\sim 6\times 10^{4}$ Mpc. That seems kind of far, like $z\sim 6$. Need to discuss this in more detail with folks. Maybe more realistic would be $\sim 10^{46}$ erg/s leading to a $10^{1.5} \approx 30$ increase in distance, so only see out to $\sim 6 \times 10^{3}$ Mpc",,,,
,SMBH + MS*,5e5 Msun + 1 Msun,z = 0.2; dL = 1.01e6,plunging orbit w/ penetration parameter beta ~ 20,,,3.6.a,,"Relevant for 2b-3b. Pfister 2021 [https://arxiv.org/abs/2103.05883]: Detection rate depends on $(M_\mathrm{BH}, m_\mathrm{MS}, \beta, z)$, the BH mass, MS* mass, penetration factor, and redshift. Most probable source for LISA: $(M_\mathrm{BH}, m_\mathrm{MS}, \beta, z) = (5\times 10^5 M_\odot, 10 M_\odot, 20, 5\times 10^{-3})$. This leads to an observable TDE rate $\sim 10^{-4}$ for SNR $\sim 10$. Most probable source for DECIGO: $(M_\mathrm{BH}, m_\mathrm{MS}, \beta, z) = (10^4 M_\odot, 1 M_\odot, 200, 5\times 10^{-1})$. This leads to observable TDE rate of $\sim 10^{2}$ for SNR $\sim 10$. Redshift seems to have the strongest impact on detection rates, with the log of the detection rate scaling roughly like $z^3$. Therefore, the most gain can be made by detecting farther signals. So we can either adopt the ideal DECIGO system or something like an optimal LISA source but with a slightly lower mass and increased optimal redshift. Really need to do a full analysis w/ mission concept sensitivity curve to figure out whether these signals will be observable w/ future GW detector. Note that we only focus on MS plunge orbits and not WD plunges since WD rates are about 100 times smaller than MS* rates per [https://arxiv.org/pdf/1902.06612.pdf].",,,,
,,,,,,,,,,,,,
4.Persistent stellar binary,,,,,,,,,,,,,
,WD binary,0.6 MSun + 0.6 MSun,z = 0.2; dL = 1.01e6,Need to pick *some* separation/orbital radius with negligible Pdot (using 10^10 days before merger),5e-4 Hz,,4.1.a,,,,,√,
,WD binary,,z = 2.25e-4; dL = 1.0e3,,5.7e-4 Hz,,4.1.b,,,,,√,
,WD binary,,z = 1.0; dL = 6.79e6,need something to be able to measure dL,3.68e-4 Hz,1 arcmin  ,4.1.c,,,,,,
,WD binary,,z = 2.0; dL = 1.59e7,,2.86e-4 Hz,20 arcsec,4.1.d,,,,,,
,WD binary,Mchirp~1.0 MSun (this implies MTOT ~= 2. 3 MSun!),z = 0.2; dL = 1.01e6,,5e-4 Hz,10 arcmin  ,4.1.e,,,,,,
,WD binary,"Ampl,freq ~ 5000th worst measured by LISA",in MW,,,,4.2.a,,,,,,
,WD binary,,,,,,4.2.b,,,,,,
,WD binary,,z = 3.0; dL = ,,,,,,,,,,
,,,,,,,,,,,,,
5. IMRI,IMBH + SOBH,100 MSun + 10 MSun,z = 0.1; dL = 4.76e5,,,,5.1.a,,,,,√,
,IMBH + SOBH,,z = 2.0; dL = 1.59e7,,,,5.1.b,,,,,√,
,IMBH + SOBH,,z = 8.0; dL = 8.22e7,,,,5.1.c,,,,,√,
,IMBH + SOBH,,z = 1000; dL = 1.39e10,,,,5.1.d,,,,,√,
,IMBH + SOBH,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,5.1.e,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,IMBH + SOBH,2000 MSun + 40 MSun,z = 2.0; dL = 1.59e7,,,,5.2.a,,,,,√,
,IMBH + SOBH,,z = 8.0; dL = 8.22e7,,,,5.2.b,,,,,√,
,IMBH + SOBH,,z = 30--160 (horizon); dL = 3.59e8--2.12e9,,,,5.2.c,,,,,,
,IMBH + SOBH,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,5.2.d,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,IMBH + IMBH,1000 MSun + 100 MSun,z = 2.0; dL = 1.59e7,,,,5.3.a,,,,,√,
,,,z = 8.0; dL = 8.22e7,,,,5.3.b,,,,,√,
,,,z = 90--600 (horizon); dL = 1.16e6--8.25e9,,,,5.3.c,,,,,,
,,,z = 1.0; dL = 6.79e6,,,1 arcsec,5.3.d,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,,1000 MSun + 1000 MSun,z = 2.0; dL = 1.59e7,,,,5.4.a,,,,,√,
,,,z = 8.0; dL = 8.22e7,,,,5.4.b,,,,,√,
,,,z = 370-1000 (horizon); dL = 5.0e9--1.39e10,,,,5.4.c,,,,,,
,,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,5.4.d,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,IMBH + WD,1e3 MSun + 0.8 Msun,z= 1.8 ,,0.01-1 Hz (ish),,5.5.a,,,,,,
,,,z= 3.5,,0.01-1 Hz (ish),,5.5.b,,,,,√,
,,,z = 1.0; dL = 6.79e6,no particular timescale,,,5.5.c,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,5.5.d,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,IMBH + SOBH,5e3 Msun + 1 Msun,z = 0.3; dL = 1.57e6,SNR = 50,,,5.6.a,,,,,,
,,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,5.6.b,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,MBH + IMBH,1e6 MSun + 1e3 MSun,z = 5.5; dL = 5.33e7,SNR = 20,,,5.7.a,,,,,√,
,,,z = 1.0; dL = 6.79e6,no particular timescale,,1 arcsec,5.7.b,,"H0 measurements associating GW sources with host galaxies from survey catalogs; will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,,
,,,,,,,,,,,,,
6. Exotic Sources,axions + SOBH,2 MSun,dL = 10 kpc,,150 kHz,,,,,,,,
,,,,,,,,,,,,,
7. Stochastic,,,,,,,,,,,,,
7.1 Cosmological Background,Relic GWs,,,,,,,,,,,,
,Pre-heating from Inflation,,,,,,,,,,,,
,Cosmic Strings,,,,,,,,,,,,
,Phase Transitions,,,,,,,,,,,,
,Classical fields,,,,,,,,,,,,
,Primordial black hole population,,,,,,,,,,,,
,,,max binary separation?,total observing time required for detection?,representative frequency f*,,,,,,,,
7.2 Astrophysical Background,Unresolved extragalactic binaries ,BH+BH binaries,not relevant in detector band ~ LISA,,1mHz,,,,,,,,
,,NS+NS binaries,,,1mHz,,,,,,,,
,,WD+WD binaries,,,1mHz,,,,,,,,
,,SMBH+SMBH background,,,,,,,,,,,
,,,,,,,,,,,,,
,Unresolved galactic binaries ,WD+WD binaries,DONE for LISA band,,1 mHz,,,,,,,,
,,Regular stellar binaries/triples? ,,,0.01 mHz,,,,,,,,
,,,,,,,,,,,,,
8.0 Non-interacting non-stochastic assemblages,,,,,,,,,,,,,
"8.1 Weakly interacting ssemblages/clusters (i.e., a cluster or collective of mergers) ",A weakly bound cluster of dwarf spheroidal galaxies (IMBH-stellar binaries) around SMBH; high redshift,,z= at least 2 to z=8 (typical AGN range?),1304.7762 page 116; 2nd paragraph before conclusion,,,,,,,,,
8.2 Source in cluster/gas-dense region/strong dynamical environment,,,,,,,,,,,,,
,IMBH in star cluster, a=10^-5 pc; e=0.999; 10^3 MSun + 30 MSun;,z=0.2 (LISA),Sedda deciHz paper ,0.01-1 Hz (ish),,,,,,,,
,?? CCSN neutrinos,Tight binary system or CCSN; 1 second burst,10 kpc,Sedda deciHz paper ,1 Hz,,,,,,,,
,stellar mass BBH in triple?,,,Sedda deciHz paper ,0.01-1 Hz (ish),,,,,,,,
,stellar mass BBH ejected from cluster,,,Sedda deciHz paper; see Fig 3; ref: 1703.09703 and 1811.04926,0.01-1 Hz (ish),,,,,,,,
,stellar mass BBH merge in cluster,,,Sedda deciHz paper; see Fig.3; ref: 1703.09703 and 1811.04926,0.01-1 Hz (ish),,,,,,,,
,Bremsstrahlung?,,,Sedda deciHz paper ; ref: 1907.11231,0.01-1 Hz (ish),,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7. (Cases in deciHz paper),Label,Masses (m1+m2)/Msun,Distances (DO conservative-DECIGO) (Redshifts),,,,,,,,,,
Link: https://iopscience.iop.org/article/10.1088/1361-6382/abb5c1/pdf,BNS,1.4+1.4,0.1-10,,,,,,,,,,
,NSBH,14+1.4,0.3-170,,,,,,,,,,
,NSBH,70+1.4,0.6-250,,,,,,,,,,
,BBH,30+30,3-1000,,,,,,,,,,
,IMRI (IMBH-BH),100+10,3-1000,,,,,,,,,,
,IMRI (IMBH-BH),2000+40,30-160,,,,,,,,,,
,IMBH-IMBH,1000+100,90-600,,,,,,,,,,
,IMBH-IMBH,1000+1000,370-1000,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
