,1d: Understand the co-evolution of SMBHs and galaxies over cosmic epoch.,1d-1: Measuring the distributions of the properties of SMBHBs with redshift.,1d-1a: Measuring the characteristics of GW signals for the population of SMBHBs.,"2.1.a, 2.1.d, 2.1.e, 2.4.a, 2.4.b, 2.4.c",Need good sensitivity and angular resolution.,Need EM measurements of host galaxies.,Need EM measurements of host galaxies.,Beany,,
,,1d-2: Deduce M-sigma relation.,1d-2a: Combine Doppler shifts of individual SOBHB well before merger (localized within host galaxy bulge) in clusters to deduce cluster velocity dispersion (sigma).,1.3.h,"Need a sufficiently wide-band detector in order to detect multiple harmonic modes (past quadrupole -- assume ell=4). Need good angular resolution to resolve individual binaries within cluster; alternatively, need sophisticated modeling of GW waveforms consisting of multiple sources (good understanding of GW waveforms in which multiple sources that are superimposed on top of each other). High primary SNR needed for localization & guaranteed detection of secondary harmonics

[Might be able to do this with gravitational lensing, as well.]",Need independent measurement of the total cluster mass.,Can compare with M-sigma relation from EM measurements.,,,
,,,"1d-2b: BNS well before merger,  localized within host galaxy bulge","(choose separation; add frequencies), with SNR O(1000) FIXME",High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,"1d-2c: NS-BH well before merger,  localized within host galaxy bulge","(choose separation; add frequencies), with SNR O(1000) FIXME",High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,,,
,,,1d-2d: WD binary systems localized within host galaxy bulge,FIXME,High primary SNR needed for localization & guaranteed detection of secondary harmonic,,,Beany,,
,,,1d-2e: EMRI system localized within host galaxy bulge,3.3.a,"See Torres-Orjuela:2020oxq: SOBH (10MSun) into SMBH (1e6 MSun), beginning 2 years before merger",,,,,
,,1d-3: Study the association between galaxy formation and SMBH formation at cosmic dawn.,1d-3a: Measuring the characteristics of GW signals for the highest redshift SMBHBs.,2.4.a,,,,,,
,1e: Probe the physics of the early Universe.,"1e-1: Measure or constrain GW signals from physical processes (e.g., inflation, phase transitions) or relics (e.g., cosmic strings, primordial black holes) from the early universe.",1e-1a: Distinguish GW signals from early universe processes from astrophysical GW signals by measuring the spectral index of the stochastic GW background and characterizing its anisotropy.,FIXME,Need better sensitivity than \Omega_{GW} ~ 10^-9 (check numbers),,,Zorawar,Toni,
2. Study Astrophysical Processes in Extreme Gravitational Environments. (Or fill in appropriate Astro2020 Theme). New Messengers and New Physics: use the GW window to explore astrophysical systems in new ways.,2a: Probe the physics of MBHB accretion processes.,2a-1: Study associations between GW and EM emission processes from MBBH systems.,2a-1a: Measuring the characteristics of GW signals and measuring the EM signals over multiple frequencies and particle signals in multiple energy bands,"2.1.a, 2.1.b, 2.1.g, 2.3.a, 2.3.b",Need good sensitivity to locate signals to host galaxies for EM follow-up.  Close sources are needed so their EM signals are observable and localizable. MMA sources/detections needed across different redshifts and masses needed to evaluate parameter dependence. ," Ideally, source would be associated with archival source for long time frame modeling. Multiband EM needed for spectral classification of source and evaluation of nature of accretion flow. X-ray needed for the inner accretion flow, radio/mm for the jet characterization.  Global MMA coordination required. ",Key challenge is the large uncertainty in the rates of these sources.  Will we see a close enough merger with enough ambient material to produce a bright EM signal? ,Scott,,
,,2a-2: Precisely determine BH properties and identify EM counterparts in order to enable follow-up studies of accreting systems.,2a-2a: Measuring the characteristics of GW signals,"2.1.a, 2.1.b, 2.1.g","Goal here is precision, so only the closest sources at the best resolution are needed. Characterization of source's mass, mass ratio, eccentricity, spins, spin-orientation, all tell us about source's accretion history. Observed pre- and post-merger needed to measure environment properties. "," Ideally, source would be associated with archival source for long time frame modeling. Multiband EM needed for spectral classification of source and evaluation of nature of accretion flow. X-ray needed for the inner accretion flow, radio/mm for the jet characterization.  Global MMA coordination required. ",Measure the mass of the accretion flow. Possibly measurable through phase drag earliest in the inspiral.  Possibly from EM spectral modeling. ,,,
,,2a-3: Measure the mass of the accretion flow.,2a-3a: Study phase evolution of waveform to look for evidence of drag from accretion gas on the binary.,"2.1.a, 2.1.b, 2.1.d, 2.3.a","Variety of sources with <0.1% phase errror needed to try to measure the most massive accretion flows.  If they exist, then could do this for a redshifts w/o EM. ","While EM observations may not be strictly needed, they would useful to associating accretion disk mass with EM and host properties.",Phase resolution. ,,,
,"2b: Probe the physics of MBH systems, their environments, and study their evolution.",2b-1: Measure masses and spins of a large population of MBHs.,2b-1a: Measuring the characteristics of GW signals of EMRIs and doing statistical analyses of the population of EMRIs.,"3.3.c, 3.3.e","Need good sensitivity to EMRI signals at large distances to better ensure that we measure a sizeable population of EMRIs. 3.3.c (less pessimistic model), 3.3.e (more pessimistic model)",,Need astrophysical models of how certain conditions (host galaxy environments and galaxy merger rates) lead to populations of MBHs. Do MBHs grow through accretion or major mergers? This will eventually be informed by LISA observations,Zach,Scott,
,,2b-2: Measure masses and spins of individual MBHs in EMRI systems that have been localized to a particular host galaxy.,2b-2a: Measuring the characteristics of GW signals of EMRIs,3.3.b,Angular resolution necessary to localize EMRI to a particular host galaxy.,,Compare with spin measurements from EM observations -> information about accretion processes.,,,
,,2b-3: Observe TDEs in gravitational waves.,2b-3a: Measure the characteristics of GW signals of MBH-WD and enable searches for EM counterparts.,3.5.a,,Observation of X-ray flares and decay,EMRIs with an EM counterpart -- tidal disruption of WD or MS star,,,
,,,2b-3b: Measure the characteristics of GW signals of MBH-MS* and enable searches for EM counterparts.,3.6.a,,Observation of X-ray flares and decay,EMRIs with an EM counterpart -- tidal disruption of WD or MS star,,,
,2c: Search for intermediate mass black holes and understand how they form and evolve.,"2c-1: Measure characteristics (masses, spins, distributions thereof for populations) of IMRI and IMBHB systems.",2c-1a: Measure the GW signal characteristics of IMRIs.,"5.5.a, 5.6.a","5.5.1 for a light IMRI, 5.6.a for a heavy IMRI. Need good sensitivity in order to detect IMRIs. Need to observe at higher frequencies in order to detect merger (unless we have a MBH + IMBH), but at lower frequencies can detect pre-merger signal.",Need sufficient numbers to have the statistics necessary to determine population distributions.,,Zach,Scott,
,,,2c-1b: IMBH binary systems,FIXME,,,,Toni,,
,2d: Understand how NS binaries form and evolve in their galactic environments and characterize their populations.,2d-1: Localize NS binaries within the Galaxy and nearby galaxies.,2d-1a: Identify and characterize GW signals from NS binaries prior to merger and compile population statistics.,FIXME,Need good sensitivity (to be able to detect farther out) and good angular resolution to localize within host galaxy.,"no EM counterpart needed, if we assume enough angular resolution to localize source inside galaxy; however, EM counterpart should be *bright*",Need observations of the host galaxy and environments of detected NS binaries.,Cecilia,Toni,
,"2e: Understand the structure and population properties (e.g., mass distribution function) of WDs and their evolution near massive compact objects.",2e-1: Measure masses of EMRIs consisting of MBHs with WD companions and measuring the orbital characteristics of WD companions and enable searches for any associated EM counterparts.,2e-1a: Measure the characteristics of the IMBH+WD GW binary signals (TDE scenario).,"3.5.a, 5.8.a",,,,Zach,Scott,
,,,2e-1b: MBH+WD mergers (non-TDE scenario),3.7.a,,,,,,
,,"2e-2: Explore hierarchical, many-body systems (e.g., triples) .",2e-2a: Recognize signatures of triple and many-body systems and measure masses and orbits of these systems. Ultimately cast demographical information and evaluate environment influences or constituent effects,FIXME,,,,Scott and Zach,,
,2f: Understand the progenitors of Type 1a SNe.,2f-1: Determine whether WD-WD mergers are a subpopulation of Type 1a SNe by searching for coincident GW-EM signals.,2f-1a: Search for GW signals from WD mergers associated with Type 1a SNe.,FIXME,,,EM counterpart and inform cosmology distance ladders and measurements of the Hubble constant.,Toni,,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.126.131101
,,,"2f-1b: Measure rate and properties (e.g., masses, frequency, mass of remant if no SN) of WD mergers as a function of redshift.",FIXME,,,How far can you go out in redshift and still be able to detect these?,,,
,2g: Image galaxies in GWs.,2g-1: Measure the spatial distribution of CO binaries within galaxies. ,2g-1a: WD binaries,FIXME,,,,John,,
,2h: Measure the distribution of NS masses.,,"2h-1a: Dual-line coincident sources, e.g.  oscillating NSs in ultra-compact x-ray binaries, GWI would help localize sources to increase confidence in dual-line observations",FIXME,,,,Zorawar,John,
